Manningham,Templestowe Lower,Duncan Street,Wombat Bend,Y,Y,Y,Y,Y,Y,Y,Y,-37.753651,145.115433
Kingston,Chelsea,Scoth Parade,Bicentennial Park - Giant Slide Park,Y,Y,Y,Y,Y,Y,Y,Y,-38.049806,145.126306
Boroondara,Balwyn,Parring Road,Beckett Park,Y,Y,Y,Y,N,Y,Y,N,-37.811108,145.092102
Nillumbik,Kinglake,Whittlesea Kinglake Rd,Bollygum Park,Y,Y,Y,Y,Y,Y,Y,Y,-37.528999,145.339005
Yarra Ranges,Narre Warren,Norfolk Drive,Ray Bastin Reserve - Rocket Park,Y,Y,Y,Y,Y,Y,Y,Y,-38.033947,145.307465
Glen Eira,Carnegie,Leila Road,Packer Park,Y,Y,Y,Y,Y,Y,Y,Y,-37.901577,145.058411
Monash,Chadstone,Rob Roy Road,Phoenix Community Park,Y,Y,Y,Y,Y,Y,Y,Y,-37.879223,145.081375
Nillumbik,Eltham,Main Rd,Eltham Lower Park Accessible Play Space - Diamond Valley Railway Park,Y,Y,Y,Y,Y,Y,Y,Y,-37.73423,145.142258
Brimbank,Sunshine West,Buckingham Crescent,Buckingham Reserve,Y,Y,Y,Y,Y,Y,N,N,-37.799,144.828995
Frankston,Frankston,Cranbourne Road,Ballam Park,Y,Y,Y,Y,Y,Y,N,Y,-38.152615,145.159393
Kingston,Cheltenham,Park Road,Cheltenham Park,Y,Y,N,Y,Y,Y,N,Y,-37.965084,145.050858
Stonnington,Malvern East,Adrie Road,Adrie Park,Y,N,Y,Y,Y,Y,N,Y,-37.87875,145.054123
Yarra Ranges,Sassafras,Hilton Road,Ferny Creej Reserve Playground,Y,Y,N,Y,Y,Y,N,Y,-37.875298,145.347397
Knox,Rowville,Pinehill Drive,Peregrine Reserve,Y,N,Y,N,N,N,Y,Y,-37.926037,145.259613
Mornington Peninsula,Flinders,Cook Street,Flinders Playground,Y,Y,Y,N,N,N,N,Y,-38.474361,145.015579
Moonee Valley,Travancore,Mount Alexander Rd,Debneys Park,Y,Y,Y,Y,Y,Y,Y,Y,-37.785999,144.936996
Maroondah,Croydon,Hill Road,Wyreena Gallery&Community Centre,Y,Y,Y,Y,N,N,N,N,-37.79599,145.292419
Stonnington,South Yarra,Cliff St,Grosvenor Reserve,Y,N,Y,N,N,N,N,Y,-37.844028,144.9935
Cardinia,Emerald,Emerald Lake Road,Emerald Lake Park,Y,Y,Y,N,Y,Y,N,N,-37.930996,145.453232
Boroondara,Hawthorn,Smart St,Smart Street Reserve,Y,N,Y,N,N,N,Y,N,-37.816208,145.023407
Glen Eira,Bentleigh,Wheatley Road,Allnutt Park,Y,Y,Y,Y,Y,Y,Y,N,-37.913021,145.032272
Cardinia,Pakenham,John Street,Pakenham Recreation Reserve,Y,Y,Y,N,Y,N,Y,Y,-38.07505,145.484131
Boroondara,Surrey Hills,Verdun Street,South Surrey Park,Y,Y,Y,N,N,Y,N,Y,-37.833328,145.093582
Cardinia,Emerald,Duffys Road,Crystal Brooke Park,Y,Y,Y,Y,Y,Y,Y,N,-37.965271,145.395416
Melton,Rockbank,Quarry Road,Woodlea Estate,Y,Y,Y,Y,Y,N,N,N,-37.717728,144.657562
Melton,Melton,Mount Cottrell Roak,Woodlea,Y,Y,Y,Y,N,N,N,N,-37.685455,144.62352
Moonee Valley,Moonee Ponds,The Boulevard,Boathouse Park,Y,Y,Y,Y,N,Y,Y,N,-37.768806,144.902802
Kingston,Clayton South,Nettlebeck Road,Heatherton Park,Y,Y,Y,N,Y,Y,Y,N,-37.956753,145.131805
Wyndham,Point Cook,Cnr Saltwater Promenade & City Bay Road,Crocodile Park Saltwater Coast Point Cook,Y,Y,Y,Y,Y,Y,Y,N,-37.913048,144.77951
Yarra Ranges,Mount Evelyn,Birmingham Road,Stake Park,Y,Y,Y,Y,N,N,Y,Y,-37.784012,145.378876
Moonee Valley,Keilor East,Keilor Park Drive,Brimbank Park Playscape,Y,Y,Y,N,Y,Y,Y,N,37.730457,144.849899
Kingston,Mentone,Warrigal Road,Reg Marlow Park,Y,N,N,Y,Y,N,N,N,-37.975197,145.072174
Port Phillip,Albert Park,Danks Street,Danks Street Playspace,Y,N,Y,Y,N,N,N,Y,-37.846588,144.950333
Glen Eira,Caulfield North,Park Crescent,Caulfield Park - Park Crescent,Y,Y,Y,Y,Y,Y,Y,Y,-37.87265,145.033676
Port Phillip,South Melbourne,_Entrance between 209 & 211 Dorcas Street_,Skinners Adventure Playground South Melbourne,Y,N,N,Y,Y,Y,N,Y,-37.832939,144.962097
Yarra Ranges,Montrose,Mount Dandenong Tourist Rd,Montrose Park,Y,Y,Y,N,N,Y,N,Y,-37.812122,145.346024
Boroondara,Kew East,Longstaff Street,Hays Paddock,Y,Y,Y,Y,Y,Y,Y,Y,-37.789066,145.057632
Boroondara,Ashburton,Victory Blvd,Markham Reserve,Y,Y,Y,Y,Y,Y,Y,Y,-37.871468,145.085419
Port Phillip,St Kilda,Off Neptune,St Kilda Adventure Playground,Y,Y,Y,Y,Y,Y,Y,Y,-37.862537,144.978912
Maribyrnong,Seddon,Cnr Hyde & Somerville Road,Yarraville Gardens,Y,Y,Y,N,Y,Y,Y,N,-37.81358,144.898941
Banyule,Heidelberg West,Oriel Rd,Malahang Reserve,Y,Y,Y,Y,Y,Y,Y,N,-37.742382,145.043564
Melbourne,Melbourne,Birrarung Marr,Birrarung Marr - Artplay Playground,Y,Y,Y,Y,N,Y,Y,N,-37.818054,144.973694
Whitehorse,Mitcham,Micham Road,Halliday Park,Y,Y,Y,N,Y,Y,N,N,-37.810867,145.192307
Glen Eira,Elsternwick,Seymour Rd,Marleston Park,Y,Y,Y,Y,Y,Y,N,N,-37.881001,145.00975
Banyule,Bundoora,Fairway Dr,Bundoora Playspace,Y,Y,Y,Y,N,Y,Y,Y,-37.704388,145.042999
Knox,Bayswater,Jim Abernethy Memorial Dr,Bayswater Train Park,Y,Y,Y,Y,Y,Y,N,Y,-37.838001,145.268997
Moonee Valley,Moonee Ponds,Mount Alexander Rd,Queens Lake Park,Y,Y,Y,N,N,Y,N,N,-37.762066,144.922836
Bayside,Brighton,Dendy Street,Dendy Park,Y,Y,Y,Y,Y,Y,Y,Y,-37.923161,145.021072
Kingston,Chelsea,Camp Street,Chelsea Beach,Y,Y,Y,N,Y,Y,N,Y,-38.052391,145.113663
Knox,Rowville,Fulham Road,Rowville Community Centre Playground,Y,Y,N,Y,Y,Y,Y,N,-37.91898,145.240265
Bayside,Hampton,Thomas Street,Thomas Street Reserve,Y,Y,Y,N,Y,Y,Y,Y,-37.940865,145.017319
Manningham,Doncaster,Victoria Street,Ruffey Lake Park,Y,Y,Y,Y,Y,Y,Y,N,-37.777294,145.144073
Melbourne,South Yarra,Birdwood Avenue,The Ian Potter Foundation Children's Garden,Y,Y,Y,Y,Y,Y,Y,Y,-37.830296,144.976059
Moonee Valley,Ascot Vale,Langs Rd,Victory Park,Y,Y,Y,N,Y,N,N,N,-37.779999,144.912003
Glen Eira,Bentleigh,Cnr Jasper Rd,Halley Park,Y,N,Y,Y,Y,Y,N,N,-37.927376,145.039185
Melbourne,Carlton,Rathdowne Street,Carlton Gardens,Y,Y,Y,Y,N,Y,N,N,-37.802189,144.97052
Kingston,Mentone,Glenelg Drive,Mentone Racecource,Y,Y,Y,Y,Y,Y,N,N,-37.978371,145.078781