Banyule,0.92,0.08,0.08,5.86,64,11,6,194
Bayside,0.92,0.05,0.11,2.14,25,9,2,96
Boroondara,0.92,0.04,0.11,1.8,28,4,3,159
Brimbank,0.93,0.1,0.11,6.69,337,18,3,216
Cardinia,0.91,0.08,0.15,6.34,53,21,8,193
Casey,0.94,0.07,0.15,7.33,211,36,15,529
Darebin,0.91,0.1,0.12,6.78,118,20,2,227
Frankston,0.92,0.11,0.17,12.4,261,25,3,405
Glen Eira,0.93,0.04,0.12,2.22,69,9,1,151
Greater Dandenong,0.91,0.13,0.11,11.04,211,33,2,394
Hobsons Bay,0.93,0.07,0.13,5.12,36,10,2,96
Hume,0.93,0.11,0.14,5.96,163,49,25,399
Kingston,0.93,0.07,0.11,3.88,117,16,5,354
Knox,0.93,0.07,0.16,6.43,174,13,4,315
Manningham,0.91,0.06,0.11,2.97,29,8,3,130
Maribyrnong,0.91,0.04,0.11,5.88,189,18,10,107
Maroondah,0.91,0.1,0.11,6.05,130,15,7,206
Melbourne,0.85,0.07,0.06,5.78,322,58,15,424
Melton,0.94,0.25,0.16,5,81,15,1,174
Monash,0.9,0.09,0.12,5.19,60,14,7,279
Moonee Valley,0.93,0.06,0.1,2.53,79,10,6,140
Moreland,0.91,0.08,0.15,4.63,81,24,9,289
Mornington Peninsula,0.93,0.07,0.15,8.71,141,19,3,201
Nillumbik ,0.93,0.05,0.11,1.56,11,4,0,62
Port Phillip,0.87,0.12,0.14,4.06,125,17,1,236
Stonnington,0.91,0.09,0.09,2.38,114,9,7,165
Whitehorse,0.93,0.05,0.1,3.58,41,11,1,248
Whittlesea,0.94,0.07,0.14,5.42,196,24,11,278
Wyndham,0.93,0.07,0.18,5.68,104,26,3,201
Yarra,0.92,0.15,0.12,7.73,190,14,6,139
Yarra Ranges,0.92,0.05,0.16,5.26,95,11,1,299